Cats,AIC,AICc,BIC
2,130454.5293,130454.6809,130649.2085
3,130461.7455,130462.0914,130757.3695
4,130467.5017,130468.1212,130864.0704
5,130486.3428,130487.3156,130983.8563
6,130490.4624,130491.8686,131088.9206
7,130502.0911,130504.0111,131201.4941
8,130526.7228,130529.2373,131327.0705
9,130533.5220,130536.7122,131434.8146
10,130562.3892,130566.3365,131564.6265
11,130564.7052,130569.4914,131667.8873
12,130586.6433,130592.3504,131790.7701
13,130595.8439,130602.5544,131900.9155
14,130615.5108,130623.3076,132021.5272
15,130631.3033,130640.2696,132138.2644
