Cats,Weights
2,0.4612,0.5388
3,0.262,0.4801,0.2579
4,0.1166,0.354,0.2481,0.2813
5,0.07721,0.3018,0.2009,0.278,0.1421
6,0.1958,0.2404,0.1106,0.2705,0.1555,0.02722
7,0.2498,0.1409,0.2024,0.06853,0.189,0.02472,0.1246
8,0.1919,0.09923,0.1976,0.1494,0.1451,0.02996,0.06155,0.1253
9,0.1834,0.1301,0.09486,0.1085,0.1807,0.1255,0.04763,0.03073,0.0985
10,0.1163,0.1062,0.09637,0.1396,0.1086,0.1242,0.1193,0.02832,0.06507,0.09602
11,0.09478,0.1678,0.1206,0.1113,0.06077,0.05803,0.09698,0.05742,0.1351,0.05936,0.03798
12,0.08598,0.1091,0.1034,0.1078,0.1208,0.09654,0.0649,0.05771,0.1026,0.05859,0.05834,0.0342
13,0.1116,0.07524,0.07231,0.1083,0.1059,0.1065,0.06578,0.07148,0.07679,0.07739,0.05324,0.04496,0.03054
14,0.08951,0.07536,0.1255,0.1289,0.06535,0.06999,0.06177,0.03569,0.04998,0.0562,0.08301,0.09224,0.03629,0.0303
15,0.09566,0.1816,0.1084,0.05653,0.07202,0.06792,0.03884,0.06302,0.0322,0.03516,0.07588,0.01876,0.1025,0.02107,0.03046
