Gene,Rep,Sp1,Sp2,Sp3,Sp4,Stem
1,0,0.0073052937,0.0108624566,0.0106876215,0.0084970932,0.0214958746
1,1,0.0101165006,0.0039907354,0.0101148898,0.0080523570,0.0194219972
1,2,0.0080597163,0.0090868102,0.0090726742,0.0111315362,0.0225597659
1,3,0.0159830577,0.0096482305,0.0111263470,0.0080583806,0.0139533395
1,4,0.0093743454,0.0070929933,0.0111233234,0.0111237308,0.0201177366
1,5,0.0060366036,0.0060364856,0.0138571876,0.0117384206,0.0170653214
1,6,0.0111239748,0.0111235686,0.0044463067,0.0077508242,0.0203251502
1,7,0.0142184345,0.0141903725,0.0070310458,0.0080860387,0.0215428759
1,8,0.0090839619,0.0080632573,0.0070377313,0.0131730357,0.0132253073
1,9,0.0080478934,0.0142047756,0.0170686183,0.0064473351,0.0161151411
2,0,0.0070632540,0.0039992858,0.0070500883,0.0070498948,0.0204211035
2,1,0.0100762785,0.0142218467,0.0148750584,0.0116617863,0.0287337229
2,2,0.0111137247,0.0121589162,0.0039896058,0.0091019590,0.0236009971
2,3,0.0090828184,0.0090825332,0.0111151883,0.0142070234,0.0194536697
2,4,0.0111340707,0.0090712414,0.0160127897,0.0074377419,0.0255559336
2,5,0.0131735088,0.0131735177,0.0039831583,0.0111388409,0.0173682332
2,6,0.0076016726,0.0086847805,0.0086305579,0.0097068179,0.0221937794
2,7,0.0131874765,0.0090625007,0.0101210757,0.0060119374,0.0236115015
2,8,0.0076403710,0.0076408543,0.0090655963,0.0142098614,0.0192604056
2,9,0.0070671677,0.0039952472,0.0068658203,0.0146968057,0.0242704305
3,0,0.0080415168,0.0142116741,0.0150133219,0.0053771647,0.0192784321
3,1,0.0116979114,0.0138331357,0.0149657318,0.0074622861,0.0242970992
3,2,0.0060212858,0.0101118562,0.0080684798,0.0070464292,0.0173409000
3,3,0.0152481368,0.0131598596,0.0111302161,0.0141962375,0.0184434260
3,4,0.0050205533,0.0060406554,0.0111309728,0.0080544961,0.0183689117
3,5,0.0134237329,0.0166631054,0.0080621885,0.0090846607,0.0156617910
3,6,0.0039607987,0.0172936840,0.0049980363,0.0121568710,0.0163444863
3,7,0.0060261489,0.0080736344,0.0100980789,0.0111269011,0.0204647224
3,8,0.0090778383,0.0101054697,0.0029581700,0.0111525071,0.0215031883
3,9,0.0049783824,0.0162678786,0.0121653600,0.0019512586,0.0173700138
4,0,0.0080624571,0.0090849631,0.0111165814,0.0152330263,0.0163340451
4,1,0.0152522813,0.0070065949,0.0070337301,0.0101149491,0.0225742080
4,2,0.0045100347,0.0056343532,0.0022148513,0.0089225092,0.0243718101
4,3,0.0121449361,0.0039964254,0.0183111833,0.0090760181,0.0111744064
4,4,0.0107247077,0.0128201754,0.0100852774,0.0131907546,0.0160685755
4,5,0.0090869806,0.0080605774,0.0117446585,0.0117448423,0.0212971260
4,6,0.0152763449,0.0069833738,0.0075181748,0.0107752204,0.0308462743
4,7,0.0128075939,0.0106327727,0.0080323810,0.0142252691,0.0297900659
4,8,0.0064070738,0.0139506444,0.0064993668,0.0097627796,0.0264453864
4,9,0.0127896562,0.0148916237,0.0111272780,0.0060258885,0.0160236378
5,0,0.0138514059,0.0106454084,0.0131855630,0.0100874543,0.0244897924
5,1,0.0131757689,0.0121451112,0.0059755572,0.0193744899,0.0194902528
5,2,0.0101147536,0.0070339503,0.0127895726,0.0117235209,0.0223466469
5,3,0.0121480361,0.0121475076,0.0050200361,0.0060418324,0.0215008081
5,4,0.0111346007,0.0080511617,0.0142096702,0.0111138012,0.0215454240
5,5,0.0128082819,0.0117348851,0.0150092664,0.0053858993,0.0190236302
5,6,0.0106817022,0.0138671280,0.0100994661,0.0111259490,0.0181559137
5,7,0.0080765677,0.0050104214,0.0173024187,0.0121350012,0.0194430894
5,8,0.0121664423,0.0060042700,0.0100863256,0.0142116293,0.0215402852
5,9,0.0145743980,0.0128037222,0.0078778516,0.0156120411,0.0203001295
6,0,0.0100983551,0.0111277011,0.0049950908,0.0101231878,0.0225560511
6,1,0.0090676642,0.0131830573,0.0107382426,0.0096687258,0.0202811341
6,2,0.0142116158,0.0080415148,0.0049954940,0.0111401243,0.0194430589
6,3,0.0111243146,0.0111237987,0.0075705134,0.0097329125,0.0234465823
6,4,0.0065342298,0.0108218428,0.0107570989,0.0096928603,0.0158524817
6,5,0.0183362447,0.0121359716,0.0095874817,0.0159629280,0.0213551906
6,6,0.0090821524,0.0070506483,0.0076154063,0.0097455575,0.0160943774
6,7,0.0067108684,0.0167559137,0.0103924989,0.0110289862,0.0221898873
6,8,0.0060349885,0.0080667629,0.0060275995,0.0101068647,0.0163066590
6,9,0.0117110668,0.0148948695,0.0131757185,0.0121448707,0.0192081446
7,0,0.0070394612,0.0101094134,0.0080654598,0.0080652615,0.0173469001
7,1,0.0149917028,0.0075095526,0.0111500774,0.0100826793,0.0161023197
7,2,0.0042195504,0.0160066324,0.0144514886,0.0118971300,0.0153086586
7,3,0.0044789565,0.0088094376,0.0080593571,0.0121466740,0.0119819308
7,4,0.0111312563,0.0080544113,0.0142109395,0.0070230583,0.0184102672
7,5,0.0060173229,0.0101159716,0.0085482999,0.0149431309,0.0202593919
7,6,0.0121531374,0.0080536645,0.0090700088,0.0142048587,0.0163393776
7,7,0.0090729330,0.0131774099,0.0090899186,0.0060262084,0.0163226659
7,8,0.0080870191,0.0029790550,0.0162672730,0.0141971964,0.0204762067
7,9,0.0121465599,0.0111237954,0.0131667199,0.0070436574,0.0101401300
8,0,0.0060427017,0.0040084992,0.0090926158,0.0039971570,0.0152510845
8,1,0.0050252613,0.0050251260,0.0090763858,0.0101075421,0.0256449971
8,2,0.0039698940,0.0121732684,0.0087899674,0.0044591912,0.0161500300
8,3,0.0117947485,0.0085908072,0.0070535098,0.0080628659,0.0234089199
8,4,0.0076229279,0.0076236142,0.0138946035,0.0085320756,0.0253661562
8,5,0.0080442194,0.0152350999,0.0114446782,0.0092282942,0.0168890374
8,6,0.0101118805,0.0060209003,0.0080458406,0.0142075669,0.0173641940
8,7,0.0131682287,0.0121550501,0.0080632169,0.0111250486,0.0194615156
8,8,0.0080400696,0.0131897253,0.0090966392,0.0060193284,0.0225567861
8,9,0.0052190858,0.0139773603,0.0129555922,0.0092934789,0.0121996890
9,0,0.0179231397,0.0189915438,0.0096361820,0.0107165237,0.0295964682
9,1,0.0070499435,0.0070497633,0.0085710456,0.0138996630,0.0192005185
9,2,0.0070368159,0.0111342186,0.0138097695,0.0137907609,0.0244578621
9,3,0.0121893529,0.0080227258,0.0132066873,0.0110960878,0.0236536501
9,4,0.0142147054,0.0121367632,0.0111209574,0.0080678759,0.0163433967
9,5,0.0121632785,0.0070247573,0.0090734161,0.0111307884,0.0215276845
9,6,0.0141822675,0.0142271222,0.0126651316,0.0159293438,0.0319706290
9,7,0.0134133731,0.0133779177,0.0070216540,0.0091125957,0.0242166918
9,8,0.0075881645,0.0097633964,0.0111392809,0.0111130046,0.0171596925
9,9,0.0111323157,0.0080533842,0.0080692466,0.0070457556,0.0194235660
10,0,0.0106629433,0.0128029906,0.0131818889,0.0111148126,0.0244945226
10,1,0.0117834205,0.0096455175,0.0087984939,0.0044130513,0.0211543249
10,2,0.0079514992,0.0157380797,0.0090634635,0.0091077487,0.0211221524
10,3,0.0121501655,0.0080565582,0.0060284945,0.0090877388,0.0142523732
10,4,0.0147474458,0.0095522487,0.0101597319,0.0143670989,0.0202685502
10,5,0.0121619579,0.0080449948,0.0121368243,0.0152396747,0.0226034992
10,6,0.0121612123,0.0060130503,0.0049979672,0.0080908423,0.0225386535
10,7,0.0086665016,0.0097340858,0.0090783258,0.0111260558,0.0150454673
10,8,0.0121474876,0.0121474947,0.0121477431,0.0111225497,0.0142681583
10,9,0.0060156775,0.0111359715,0.0060326396,0.0070536814,0.0183723392
